URN,Provision type,Registration Status,Sector,Owner,Source
1027158,Children's home,Active,Private,Unique Care Homes Support Limited,ofsted-spreadsheets
1027164,Children's home,Active,Private,Care 4 Children Residential Services Ltd,ofsted-spreadsheets
1155761,Children's home,Active,Private,Carbrey Care Ltd,ofsted-spreadsheets
1155775,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
1155780,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
1156098,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
1156103,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
1159258,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
1159272,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
1159385,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
1159397,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
1159763,Children's home,Active,Private,Witherslack Group Ltd,ofsted-spreadsheets
1159868,Children's home,Active,Private,Cambian Childcare Ltd,ofsted-spreadsheets
1159884,Children's home,Active,Private,Spark Of Genius North East Llp,ofsted-spreadsheets
1159903,Children's home,Active,Private,Holistic Approach Ltd,ofsted-spreadsheets
1164089,Children's home,Active,Private,Broadwood Residential Limited,ofsted-spreadsheets
1164379,Children's home,Active,Private,Icare Children's Services Ltd,ofsted-spreadsheets
1179497,Children's home,Resigned,Private,Paramount Care And Safety Ltd,ofsted-spreadsheets
1183069,Children's home,Active,Private,Priory Education Services Limited 06244880,ofsted-spreadsheets
1183173,Children's home,Active,Private,Tlc Youth Care Limited,ofsted-spreadsheets
1183197,Children's home,Active,Private,Keswick Care Limited,ofsted-spreadsheets
1183605,Children's home,Active,Private,Lonsdale Care Ltd,ofsted-spreadsheets
1183621,Children's home,Active,Private,A & T Home Limited,ofsted-spreadsheets
1183799,Children's home,Active,Private,Quality Care Homes (uk) Limited,ofsted-spreadsheets
1183826,Children's home,Active,Private,Sunderland Care And Support Limited,ofsted-spreadsheets
1183911,Residential special school (registered as a children's home),Active,Private,Young Foundations Limited,ofsted-spreadsheets
1183936,Children's home,Active,Private,Acorn Homes (uk) Ltd,ofsted-spreadsheets
1183937,Children's home,Active,Private,owned by an individual,ofsted-spreadsheets
1184093,Children's home,Active,Private,Sandcastle Care Ltd,ofsted-spreadsheets
1185488,Children's home,Active,Private,Kennet Care Limited,ofsted-spreadsheets
1185539,Children's home,Resigned,Private,Broadwood Residential Ltd,ofsted-spreadsheets
1185765,Children's home,Active,Private,Horizon Care And Education Group Limited,ofsted-spreadsheets
1185768,Children's home,Active,Private,South West Mental Health Ltd,ofsted-spreadsheets
1185828,Children's home,Active,Private,Next Stage 4 Life,ofsted-spreadsheets
1205501,Children's home,Active,Private,Castle Homes Care Ltd,ofsted-spreadsheets
1211772,Children's home,Active,Private,Priory Education Services Limited 06244880,ofsted-spreadsheets
1212094,Children's home,Active,Private,Hexagon Care Services Limited,ofsted-spreadsheets
1212117,Children's home,Active,Private,Pathway Care Solutions Ltd 04004053,ofsted-spreadsheets
1212704,Children's home,Active,Private,Hexagon Care Services Limited,ofsted-spreadsheets
1212708,Children's home,Active,Private,Pathway Care Solutions Ltd 04004053,ofsted-spreadsheets
1213416,Children's home,Active,Private,Reflexion Care Group Limited,ofsted-spreadsheets
